media_item_id,ingest_timestamp,primary_title,secondary_title,artist_id,media_cover_url
270,2022-05-19 13:23:22.782956,Gusttavo Lima - Declaração de Amor (Buteco In Boston),,189,https://i.ytimg.com/vi/hlDeoN534NE/default.jpg
279,2022-05-19 12:19:28.875913,Dua Lipa - Love Again (Official Music Video),Love Again,44,https://i.ytimg.com/vi/BC19kwABFwc/default.jpg
282,2022-05-19 13:44:53.342708,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",187,https://i.ytimg.com/vi/EPo5wWmKEaI/default.jpg
286,2022-05-19 13:44:45.375147,ELIS NOA - Weights (Official Live Video),,,https://i.ytimg.com/vi/Hk00Z5hDPH8/default.jpg
303,2022-05-19 13:44:51.730212,Adele - Hello,Hello,79,https://i.ytimg.com/vi/YQHsXMglC9A/default.jpg
308,2022-05-19 13:13:14.798101,Florence + The Machine - Free,Free,166,https://i.ytimg.com/vi/ui8kUKuLBaU/default.jpg
314,2022-05-19 12:32:12.82168,Bad Bunny - Un Coco (360° Visualizer) | Un Verano Sin Ti,,,https://i.ytimg.com/vi/lH3d69sbvX4/default.jpg
320,2022-05-19 13:23:21.248242,"Luísa Sonza, Davi Kneip, Mc Frog, Dj Gabriel do Borel - sentaDONA (remix) s2 (Clipe Oficial)",Sentadona (Remix),,https://i.ytimg.com/vi/VKaLjHZJ-GY/default.jpg
344,2022-05-19 13:23:23.147898,Gusttavo Lima - Você Mudou - Falando de Amor 2,,,https://i.ytimg.com/vi/wZi6ls2K9Is/default.jpg
347,2022-05-19 13:44:45.086699,Ariana Grande - One Last Time (Official),,8,https://i.ytimg.com/vi/BPgEgaPk62M/default.jpg
365,2022-05-19 13:44:52.999408,Maroon 5 - Don't Wanna Know ft. Kendrick Lamar (Audio),,156,https://i.ytimg.com/vi/OxPv8mSTv9U/default.jpg
368,2022-05-19 12:32:11.825055,Bad Bunny (ft. Jhay Cortez) - Tarot (360° Visualizer) | Un Verano Sin Ti,Tarot,,https://i.ytimg.com/vi/gwJ7YKhmWKg/default.jpg
397,2022-05-19 13:44:51.744025,flipturn - Playground (Official Music Video),,,https://i.ytimg.com/vi/TyMHeSHH7wI/default.jpg
407,2022-05-19 13:13:15.060174,JayDaYoungan - Almighty Flow [Official Music Video],Almighty Flow,,https://i.ytimg.com/vi/FOcZ9QPehL8/default.jpg
443,2022-05-19 13:42:23.897034,"DJ Khaled - LET IT GO (Official Audio) ft. Justin Bieber, 21 Savage",,,https://i.ytimg.com/vi/kX-dwOlOjc4/default.jpg
450,2022-05-19 13:23:21.657365,Lauana Prado - Primeiro Eu,Primeiro Eu,,https://i.ytimg.com/vi/9JV1_0G3ZIU/default.jpg
452,2022-05-19 13:44:52.861488,Backstreet Boys - Everybody (Backstreet's Back) (Official HD Video),Everybody (Backstreet's Back),62,https://i.ytimg.com/vi/6M6samPEMpM/default.jpg
454,2022-05-19 13:44:44.388951,Katy Perry - Hot N Cold (Official),Hot N Cold,211,https://i.ytimg.com/vi/kTHNpusq654/default.jpg
455,2022-05-19 13:23:22.010111,Lucas Lucco feat. Marília Mendonça - Amava Nada,Amava Nada (Ao Vivo),223,https://i.ytimg.com/vi/4FaHeREoRUc/default.jpg
463,2022-05-19 12:32:12.727721,L7NNON & OS HAWAIANOS  - Desenrola Bate Joga de Ladin (Dj Bel da Cdd e Biel do Furduncinho),Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),170,https://i.ytimg.com/vi/273pasBKH18/default.jpg
489,2022-05-19 13:23:20.78165,Gusttavo Lima - Bloqueado (Buteco In Boston),Bloqueado (Ao Vivo),189,https://i.ytimg.com/vi/14C28JSO-sg/default.jpg
491,2022-05-19 13:44:44.058684,Haley Johnsen - Higher (Official Music Video),,,https://i.ytimg.com/vi/q5OS-ANdq1Q/default.jpg
514,2022-05-19 13:44:43.112598,Jaymes Young - Infinity [Visualizer],,232,https://i.ytimg.com/vi/RY607kB2QiU/default.jpg
515,2022-05-19 12:32:11.998889,Rauw Alejandro & Chencho Corleone - Desesperados (Video Oficial),Desesperados,260,https://i.ytimg.com/vi/K9mTSekTktw/default.jpg
531,2022-05-19 12:32:12.203398,Ahmed Saad - Aleky Eyoun ( Full Version - 2022 ) احمد سعد - عليكي عيون,عليكي عيون,,https://i.ytimg.com/vi/cTXLxXj88kw/default.jpg
545,2022-05-19 13:44:50.473809,Ava Max - Maybe You’re The Problem (Official Video),Maybe You’re The Problem,,https://i.ytimg.com/vi/ijS_orLb6VU/default.jpg
