"cm_track","track","isrc","cm_artist","artist"
37395620,"40 Bars","QZNN22154375",3492318,"Bway Yungy"
13078671,"Army","GBUM71601301",3544,"Ellie Goulding"
16950282,"Cry Baby","USUM71709120",3167,"Demi Lovato"
45436800,"By The Pound - Instrumental","QZHN52174698",4200395,"UglyFace"
12393389,"Little Bird","GB6S41000003",3648,"Ed Sheeran"
12852905,"Survive You / Hidden Track","GBKPL1300026",209987,"New Kids On The Block"
63376509,"I Don't Search, I Find - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020","USRH12102741",27,"Madonna"
79427484,"ur just lonely","USAT22203084",3540881,"GAYLE"
75703694,"Before U","CA5KR2210381",3907,"Marshmello"
18067183,"Consequences","USSM11706922",454302,"Camila Cabello"
70920426,"Peru (Acoustic)","USUYG1410220",1359817,"Fireboy DML"
15168974,"Firework","USCA21001262",2482,"Katy Perry"
31842930,"I Believe In Santa","USSM12005070",4913,"Meghan Trainor"
15194321,"Grand Piano","USCM51400401",3442,"Nicki Minaj"
11635041,"God Says","DELV41600246",1054,"Rick Astley"
22508371,"I Can't Get Enough - AOP Version","USUM71902650",1118101,"benny blanco"
12495071,"Paint A Rumour","GBARL8300033",44,"Eurythmics"
20623673,"Eyes Don't Tell Lies (Interlude)","USRC11802872",4778,"MAGIC!"
58856493,"Rhythm Nation / You Gotta Be","USSM12105038",454302,"Camila Cabello"
32623625,"Blinding Lights (Netsky Remix) [Mixed]","US23A1521567",3852,"The Weeknd"
56336156,"Otra Noche Preso","QZS7J2146264",1424691,"Julianno Sosa"
28347138,"Here To Stay","USSM11913877",4913,"Meghan Trainor"
15934343,"One Last Time","USUM71504972",3963,"Ariana Grande"
15048700,"Unwanted","USAR10200227",1316,"Avril Lavigne"
15085104,"If Time Is All I Have - Acoustic","USAT21002392",2157,"James Blunt"
32526401,"Force","JPPO02004346",1414812,"TOMORROW X TOGETHER"
15928335,"Shake Whatever","USUM71311829",526,"Nelly"
81239073,"Hurtless - Acoustic","AUUM72200090",210947,"Dean Lewis"
20647560,"Alien Boy - Big Data Remix","USAT21811286",430760,"Oliver Tree"
23004006,"Si Te Falta Alguien","MXUM71900327",40359,"Christian Nodal"
32821979,"Hold You 'Til We’re Old","USAT22100036",3803550,"Jamie Miller"
26129668,"Harleys In Hawaii","USUM71919682",2482,"Katy Perry"
11030774,"Making Mirrors","AUZS21100038",2198,"Gotye"
12417717,"Songbird","GBA077525060",251,"Bee Gees"
20272164,"Let It Go","PLS921640805",3167,"Demi Lovato"
16029751,"Deep End","USWB11601262",5699,"THEY."
21887017,"Boa Menina","BRUM71803962",647232,"Luísa Sonza"
14008681,"Outside","SE3OH1515704",3907,"Marshmello"
18267897,"Better Dayz","QMCE31801616",643734,"OMB Peezy"
33799915,"Me Leva a Sério","BRWMB1500317",4520,"Anitta"
81303587,"Yo No Soy Celoso","QM6MZ2214880",214945,"Bad Bunny"
28290585,"Wet It Up (feat. Zeek)","QMUY42000002",3440,"Major Lazer"
